Variable,Description,Values
gratitude_2,"If I had to list everything that I felt grateful for, it would be a very long list.","1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_3,"When I look at the world, I don't see much to be grateful for. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_4,I am grateful to a wide variety of people.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_5,"As I get older, I find myself more able to appreciate the people, events, and situations that have been part of my life history.","1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_6,Long amounts of time can go by before I feel grateful to something or someone. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_frequency_1,"Thanked someone you didn’t know who did a small favor for you in public (for example, someone who opened a door for you).","0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_2,"Expressed appreciation to a service worker (for example, someone who works in a restaurant or a grocery store).","0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_3,Tried to return a favor to someone who did something nice for you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_4,Let your family and friends know that you appreciate them.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_5,Helped someone because they had helped you in the past.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_6,Made a point to not forget after someone had helped you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_7,Helped a coworker with a task because they had helped you before.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_8,Complimented a friend who had done something nice for you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_9,Told other people about a nice thing that someone else did for you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
belief_in_god,Which of these statements comes closest to describing your own belief in God?,"1 = I currently believe in God
2 = I formerly believed in God, but no longer believe in God.
3 = I have never believed in God"
religious_grat_1,I have so much in life to be thankful to God for.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_2,"If I had to list everything that I felt grateful to God for, it would be a very long list.","1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_3,"When I look at the world, I don’t see much to be grateful to God for. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_4,I am grateful to God.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_5,As I get older I find myself more able to appreciate that God has been part of my life history.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_6,Long amounts of time can go by before I feel grateful to God. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
RCI-10_1,I often read books and magazines about my faith.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
RCI-10_2,I make financial contributions to my religious organization.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
RCI-10_3,I spend time trying to grow in understanding of my faith.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
RCI-10_4,Religion is especially important to me because it answers many questions about the meaning of life.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
RCI-10_5,My religious beliefs lie behind my whole approach to life.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
RCI-10_6,I enjoy spending time with others of my religious affiliation.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
RCI-10_7,Religious beliefs influence all my dealings in life.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
RCI-10_8,It is important to me to spend periods of time in private religious thought and reflection.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
RCI-10_9,I enjoy working in the activities of my religious affiliation.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
RCI-10_10,I keep well informed about my local religious group and have some influence in its decisions.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
panas_interested,"Indicate the extent to which you have felt ""interested"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_excited,"Indicate the extent to which you have felt ""excited"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_active,"Indicate the extent to which you have felt ""active"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_strong,"Indicate the extent to which you have felt ""strong"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_attentive,"Indicate the extent to which you have felt ""attentive"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_determined,"Indicate the extent to which you have felt ""determined"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_inspired,"Indicate the extent to which you have felt ""inspired"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_enthusiastic,"Indicate the extent to which you have felt ""enthusiastic"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_proud,"Indicate the extent to which you have felt ""proud"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_alert,"Indicate the extent to which you have felt ""alert"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_hostile,"Indicate the extent to which you have felt ""hostile"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_irritable,"Indicate the extent to which you have felt ""irritable"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_ashamed,"Indicate the extent to which you have felt ""ashamed"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_scared,"Indicate the extent to which you have felt ""scared"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_nervous,"Indicate the extent to which you have felt ""nervous"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_guilty,"Indicate the extent to which you have felt ""guilty"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_upset,"Indicate the extent to which you have felt ""upset"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_jittery,"Indicate the extent to which you have felt ""jittery"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_distressed,"Indicate the extent to which you have felt ""distressed"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
panas_afraid,"Indicate the extent to which you have felt ""afraid"" over the past week.","1 = ""Very slightly or not at all""; 5 = ""Extremely"""
envy_1,I like to make people feel bad when something good has happened to them.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_2,I wouldn’t want to trade places with anyone.  (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_3,I feel angry when others succeed. ,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_4,It brings me happiness to see my friends succeed. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_5,I’m content with what I’ve got.  (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_6,I am happy when others succeed even when I don’t.  (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_7,It pains me to think of the success of my friends.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_8,I would rather see someone I don’t know win a lottery than to see an acquaintance win.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
primal_belief_1,Most things in the world are good.,
primal_belief_2,"In life, there’s way more beauty than ugliness.","1 = ""strongly disagree""; 5 = ""strongly agree"""
primal_belief_3,Most things have a habit of getting worse. (reverse coded),"1 = ""strongly disagree""; 5 = ""strongly agree"""
primal_belief_4,"On the whole, the world is an uncomfortable and unpleasant place. (reverse coded)","1 = ""strongly disagree""; 5 = ""strongly agree"""
primal_belief_5,Good things in the world outweigh the bad things.,"1 = ""strongly disagree""; 5 = ""strongly agree"""
primal_belief_6,"On the whole, the world is a bad place. (reverse coded)","1 = ""strongly disagree""; 5 = ""strongly agree"""
number_attention,Attention check,6 (Correct answer)
sex,Participant's gender identity,"1 = Male
2 = Female
3 = Non-binary
4 = Prefer not to answer"
age,What is your age in years?,
race_1,Would you consider yourself Hispanic or Latino?,"1 = Yes
2 = No"
race_2,Please select the term below that best describes your racial identity:,"1 = American Indian/Alaskan Native
2 = Asian
3 = Native Hawaiian or other Pacific Islander
4 = Black or African American
5 = White
6 = More than one race
7 = Other
8 = Prefer not to answer"
race_3,What race do you identify as?,
religion,Please select the term below that best describes your religious affiliation:,"1 = Christian
2 = Catholic
3 = Mormon
4 = Jewish
5 = Muslim
6 = Buddhist
7 = Hindu
8 = Atheist
9 = Agnostic
10 = Spiritual
11 = Other
12 = Prefer not answer"
religion_other,What religion do you consider yourself affiliated with?,
religion_freq,How often do you attend religious services?,"1 = Seldom/Never
2 = Several times a year
3 = Once or twice a month
4 = At least once a week
5 = More than once a week"
education,How many years of formal education do you have?,"1 = Less than high school degree
2 = High school graduate (high school diploma or equivalent including GED)
3 = Some college but no degree
4 = Associate degree in college (2-year)
5 = Bachelor's degree in college (4-year)
6 = Master's degree
7 = Doctoral degree
8 = Professional degree (JD, MD)"
social_class,How would you rate your social class?,"1 = lower/working
2 = lower middle
3 = middle
4 = upper middle
5 = upper
6 = prefer not "
sex_orientation,Please select the term below that best describes your sexuality:,"1 = Heterosexual (straight)
2 = Homosexual (gay)
3 = Bisexual
4 = Asexual/Aromantic
5 = Other
6 = Prefer not to say"
marital_status,Which of the following best describes your current marital status?,"1 = Never married
2 = Married/In a domestic partnership
3 = Widowed
4 = Divorced
5 = Other "
meals_attention,Attention check,4 (Correct Answer)
attention_check,How much attention did you pay to this study?,"1 = Almost none
2 = Very little
3 = Some
4 = A lot
5 = Almost all "
goal_check,What do you think this study was about?,
hypothesis_check,What hypothesis/hypotheses do you think we were testing in study?,
intervention_check,"Before participating in our study today, had you ever taken part in an activity (for example, keeping a gratitude journal) designed to make you feel more grateful?","1 = Yes
2 = No "
intervention_check_2,Do you think it worked?,"1 = Yes
2 = No "
intervention_check_3,"In general, do you think activities like keeping a gratitude journal help people feel happier and more satisfied with life?<br>","1 = Yes
2 = No 
3 = Not sure"
ai,AI check,"1 = Yes
2 = No "
copy_paste,Copy paste check,"1 = Yes
2 = No "
copy_paste_no,Elaborating on AI and copy paste check,
feedback,Feedback on the survey,
PROLIFIC_PID,Prolific ID,
condition,Name of the condition assigned,"1 = measurement only (control) 
2 = events list (control)
3 = interesting events list (control)
4 = hassles list (control)
5 = gratitude list (intervention)
6 = gratitude letter (intervention)
7 = gratitude text (intervention)
8 = Hong Kong list/Naikan gratitude list (intervention)
9 = Singapore/mental subtraction task (intervention)
10 = gratitude to God list (intervention)
11 = gratitude to God letter (intervention)"
condition_type,Type of the condition assigned,"1 = control
2 = intervention"
worktimeArray,An ordered array of the total time spent both on and off task,
tasktime,How much time a participant spent on the survey,
WorktimeArray,An ordered array of the total time spent both on and off task,
offTask,An ordered array of the time spent off task; each item in the array represents a separate time the subjects’ cursor left the work space and the amount of time the subject spent off task,
onTask,An ordered array of the time spent on task; each item in the array represents a separate time the subjects’ cursor entered the workspace and the amount of time the subject spent within the task window,
totalOffTask,The total amount of time spent off task,
totalOnTask,The total amount of time on task (without subtracting time spent off task),
perPagePT,Page breaks between pages,
pageNo,How many pages the participant saw,
